,title,date,console
525,Metal Max 2: Reloaded,2011,DS
526,Metal Max 3,2010,DS
527,Metal Saga: Hagane no Kisetsu,2006,DS
528,Metal Slug 7,2008,DS
529,Meteos,2005,DS
530,Meteos: Disney Magic,2007,DS
531,Methode Boscher: La Journee des Tout Petits,2008,DS
532,Metroid Prime Hunters,2006,DS
533,Metroid Prime Pinball,2005,DS
534,Metropolis Crimes,2009,DS
535,Mezase! Koushien,2008,DS
536,Mezase!! Tsuri Master DS,2009,DS
537,Mi Experto en Aleman: Mejora tu Vocabulario Aleman,2009,DS
538,Miami Law,2009,DS
539,Miami Nights: Singles in the City,2008,DS
540,Michael Jackson: The Experience,2010,DS
541,Micro Machines V4,2007,DS
542,Midnight Mysteries: The Edgar Allan Poe Conspiracy,2010,DS
543,Midnight Play! Pack,2008,DS
544,Miffy's World,2010,DS
545,Might & Magic: Clash of Heroes,2009,DS
